Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SW-UI-TestSuite,,,,2020-11-10 05:25:53,2020-11-10 05:26:16,22.346s,FAILED
,,,,,,,
Test Cases/Assessments/List Assessments,,,,2020-11-10 05:25:54,2020-11-10 05:26:16,21.911s,FAILED
"openBrowser("""")",,,,2020-11-10 05:25:54,2020-11-10 05:26:16,21.310s,FAILED
